code_postal,Commune,departement,code_departement,region,code_region,statut,population,inscrit,votant,LFN,abstentions,blanc,nul
39270,ALIEZE,JURA,39,FRANCHE-COMTE,43,Commune simple,200.0,126.0,61.0,23.0,65.0,1.0,1.0
88600,CHAMP-LE-DUC,VOSGES,88,LORRAINE,41,Commune simple,500.0,480.0,288.0,109.0,192.0,10.0,5.0
62490,NOYELLES-SOUS-BELLONNE,PAS-DE-CALAIS,62,NORD-PAS-DE-CALAIS,31,Commune simple,800.0,572.0,383.0,163.0,189.0,7.0,3.0
14370,ARGENCES,CALVADOS,14,BASSE-NORMANDIE,25,Commune simple,3500.0,2653.0,1295.0,342.0,1358.0,27.0,18.0
11230,CHALABRE,AUDE,11,LANGUEDOC-ROUSSILLON,91,Chef-lieu canton,1100.0,791.0,436.0,117.0,355.0,30.0,14.0
26110,SAINT-MAURICE-SUR-EYGUES,DROME,26,RHONE-ALPES,82,Commune simple,700.0,557.0,301.0,94.0,256.0,13.0,7.0
12400,SAINT-FELIX-DE-SORGUES,AVEYRON,12,MIDI-PYRENEES,73,Commune simple,200.0,202.0,123.0,23.0,79.0,5.0,8.0
52000,CHAUMONT,HAUTE-MARNE,52,CHAMPAGNE-ARDENNE,21,Préfecture,23400.0,15948.0,6921.0,1866.0,9027.0,182.0,170.0
93160,NOISY-LE-GRAND,SEINE-SAINT-DENIS,93,ILE-DE-FRANCE,11,Chef-lieu canton,63400.0,36121.0,14713.0,2468.0,21408.0,291.0,140.0
11250,LEUC,AUDE,11,LANGUEDOC-ROUSSILLON,91,Commune simple,700.0,572.0,365.0,126.0,207.0,3.0,22.0
62170,ESTREE,PAS-DE-CALAIS,62,NORD-PAS-DE-CALAIS,31,Commune simple,300.0,197.0,136.0,49.0,61.0,2.0,1.0
49540,AUBIGNE-SUR-LAYON,MAINE-ET-LOIRE,49,PAYS DE LA LOIRE,52,Commune simple,400.0,270.0,147.0,33.0,123.0,3.0,3.0
36800,NURET-LE-FERRON,INDRE,36,CENTRE,24,Commune simple,300.0,257.0,153.0,51.0,104.0,3.0,5.0
32300,SAINT-MEDARD,GERS,32,MIDI-PYRENEES,73,Commune simple,300.0,274.0,158.0,33.0,116.0,9.0,1.0
63600,GRANDRIF,PUY-DE-DOME,63,AUVERGNE,83,Commune simple,200.0,206.0,97.0,16.0,109.0,4.0,0.0
10160,BERULLE,AUBE,10,CHAMPAGNE-ARDENNE,21,Commune simple,300.0,204.0,127.0,55.0,77.0,6.0,1.0
25640,BRAILLANS,DOUBS,25,FRANCHE-COMTE,43,Commune simple,100.0,121.0,79.0,24.0,42.0,0.0,0.0
76170,GRAND-CAMP,SEINE-MARITIME,76,HAUTE-NORMANDIE,23,Commune simple,700.0,511.0,299.0,92.0,212.0,13.0,5.0
39130,LE FRASNOIS,JURA,39,FRANCHE-COMTE,43,Commune simple,200.0,127.0,78.0,14.0,49.0,2.0,3.0
54480,BERTRAMBOIS,MEURTHE-ET-MOSELLE,54,LORRAINE,41,Commune simple,400.0,270.0,132.0,62.0,138.0,2.0,2.0
19100,BRIVE-LA-GAILLARDE,CORREZE,19,LIMOUSIN,74,Sous-préfecture,49200.0,33255.0,15181.0,2948.0,18074.0,379.0,405.0
57160,LESSY,MOSELLE,57,LORRAINE,41,Commune simple,800.0,660.0,363.0,85.0,297.0,9.0,0.0
88000,DOGNEVILLE,VOSGES,88,LORRAINE,41,Commune simple,1500.0,1222.0,686.0,209.0,536.0,22.0,8.0
33126,SAINT-MICHEL-DE-FRONSAC,GIRONDE,33,AQUITAINE,72,Commune simple,500.0,383.0,217.0,65.0,166.0,8.0,4.0
74600,MONTAGNY-LES-LANCHES,HAUTE-SAVOIE,74,RHONE-ALPES,82,Commune simple,600.0,481.0,278.0,53.0,203.0,5.0,1.0
35750,SAINT-MAUGAN,ILLE-ET-VILAINE,35,BRETAGNE,53,Commune simple,600.0,374.0,205.0,49.0,169.0,5.0,6.0
73210,LANDRY,SAVOIE,73,RHONE-ALPES,82,Commune simple,700.0,584.0,284.0,64.0,300.0,8.0,3.0
16560,TOURRIERS,CHARENTE,16,POITOU-CHARENTES,54,Commune simple,700.0,575.0,279.0,104.0,296.0,10.0,10.0
01560,MANTENAY-MONTLIN,AIN,01,RHONE-ALPES,82,Commune simple,300.0,254.0,120.0,47.0,134.0,1.0,4.0
