COM,status,mean_altitude,superficie,is_metropole,metropole_name
39007,Commune simple,587.0,582.0,0,
88086,Commune simple,454.0,396.0,0,
62627,Commune simple,49.0,426.0,0,
14020,Commune simple,33.0,987.0,0,
11091,Chef-lieu canton,455.0,1605.0,0,
26317,Commune simple,233.0,903.0,0,
12222,Commune simple,589.0,3104.0,0,
52121,Préfecture,319.0,5534.0,0,
93051,Chef-lieu canton,87.0,1304.0,0,
11201,Commune simple,195.0,1173.0,0,
62312,Commune simple,66.0,443.0,0,
49012,Commune simple,61.0,534.0,0,
36144,Commune simple,148.0,4893.0,0,
32394,Commune simple,210.0,1732.0,0,
63173,Commune simple,1086.0,2210.0,0,
10042,Commune simple,205.0,1683.0,0,
25086,Commune simple,352.0,196.0,0,
76318,Commune simple,140.0,496.0,0,
39240,Commune simple,801.0,1470.0,0,
54064,Commune simple,402.0,1842.0,0,
19031,Sous-préfecture,167.0,4842.0,0,
57396,Commune simple,284.0,287.0,0,
88136,Commune simple,343.0,1146.0,0,
33451,Commune simple,21.0,549.0,0,
74186,Commune simple,591.0,441.0,0,
35295,Commune simple,67.0,856.0,0,
73142,Commune simple,1409.0,1053.0,0,
16383,Commune simple,116.0,682.0,0,
01230,Commune simple,206.0,1082.0,0,
46075,Commune simple,292.0,1535.0,0,
48028,Commune simple,1113.0,4574.0,0,
27127,Commune simple,142.0,1045.0,0,
81014,Chef-lieu canton,772.0,8607.0,0,
16304,Commune simple,24.0,934.0,0,
07315,Commune simple,948.0,3181.0,0,
24270,Commune simple,213.0,1783.0,0,
46106,Commune simple,233.0,1900.0,0,
52147,Commune simple,441.0,1531.0,0,
60683,Commune simple,129.0,963.0,0,
02499,Commune simple,146.0,549.0,0,
08403,Commune simple,95.0,678.0,0,
08030,Commune simple,238.0,452.0,0,
42157,Commune simple,316.0,3194.0,0,
76364,Commune simple,133.0,1156.0,0,
72169,Commune simple,70.0,1845.0,0,
19092,Commune simple,601.0,1225.0,0,
18270,Commune simple,176.0,2601.0,0,
24524,Commune simple,159.0,791.0,0,
24236,Commune simple,141.0,1465.0,0,
73164,Commune simple,875.0,1518.0,0,
62721,Commune simple,38.0,1090.0,0,
31331,Commune simple,221.0,1010.0,0,
49305,Commune simple,53.0,2195.0,0,
17472,Commune simple,5.0,1561.0,0,
28130,Commune simple,225.0,4067.0,0,
09136,Commune simple,1358.0,1813.0,0,
45036,Commune simple,150.0,2533.0,0,
63299,Commune simple,783.0,1569.0,0,
81223,Commune simple,711.0,754.0,0,
37022,Commune simple,44.0,1896.0,0,
88182,Commune simple,433.0,453.0,0,
23140,Commune simple,557.0,1945.0,0,
51080,Commune simple,125.0,1172.0,0,
50190,Commune simple,17.0,820.0,0,
62492,Commune simple,90.0,971.0,0,
30250,Commune simple,127.0,427.0,0,
19039,Commune simple,568.0,2592.0,0,
60423,Commune simple,36.0,724.0,0,
07088,Commune simple,503.0,582.0,0,
37054,Commune simple,95.0,1849.0,0,
95428,Chef-lieu canton,118.0,520.0,0,
65436,Commune simple,331.0,620.0,0,
11316,Commune simple,655.0,2488.0,0,
46101,Commune simple,299.0,1505.0,0,
88473,Commune simple,313.0,1898.0,0,
31164,Commune simple,210.0,1129.0,0,
45096,Commune simple,144.0,3376.0,0,
23262,Commune simple,497.0,742.0,0,
21139,Commune simple,577.0,3467.0,0,
49117,Commune simple,18.0,1189.0,0,
74239,Commune simple,1172.0,1225.0,0,
24076,Commune simple,144.0,1517.0,0,
83102,Commune simple,548.0,3559.0,0,
60594,Commune simple,151.0,1076.0,0,
18269,Chef-lieu canton,220.0,1851.0,0,
74100,Commune simple,448.0,1885.0,0,
25242,Commune simple,256.0,296.0,0,
34137,Commune simple,226.0,793.0,0,
33409,Commune simple,66.0,232.0,0,
21499,Commune simple,255.0,1809.0,0,
06151,Commune simple,846.0,6789.0,1,Nice
72064,Commune simple,125.0,1870.0,0,
23015,Commune simple,333.0,3938.0,0,
83075,Commune simple,292.0,2877.0,0,
40285,Commune simple,37.0,3790.0,0,
51402,Commune simple,168.0,1705.0,0,
57734,Commune simple,344.0,451.0,0,
52248,Commune simple,398.0,1944.0,0,
55118,Commune simple,240.0,722.0,0,
31499,Chef-lieu canton,204.0,2154.0,0,
88089,Commune simple,565.0,2043.0,0,
14571,Commune simple,132.0,435.0,0,
14097,Commune simple,101.0,455.0,0,
80213,Commune simple,78.0,1062.0,0,
28411,Commune simple,144.0,841.0,0,
51478,Commune simple,148.0,822.0,0,
19257,Commune simple,367.0,1261.0,0,
22019,Commune simple,105.0,940.0,0,
15118,Commune simple,801.0,2414.0,0,
57638,Commune simple,250.0,411.0,0,
57359,Commune simple,273.0,554.0,0,
39460,Commune simple,801.0,1252.0,0,
14213,Commune simple,132.0,1365.0,0,
55195,Commune simple,278.0,549.0,0,
77363,Commune simple,82.0,672.0,0,
92026,Chef-lieu canton,41.0,416.0,0,
28204,Commune simple,147.0,1967.0,0,
62754,Commune simple,98.0,748.0,0,
01179,Commune simple,177.0,1474.0,0,
57136,Commune simple,239.0,1000.0,0,
79135,Commune simple,137.0,5039.0,0,
60466,Commune simple,135.0,547.0,0,
24319,Commune simple,139.0,2229.0,0,
54233,Commune simple,271.0,248.0,0,
07226,Commune simple,1077.0,1973.0,0,
65040,Commune simple,436.0,172.0,0,
27685,Commune simple,175.0,1711.0,0,
88277,Commune simple,536.0,398.0,0,
89041,Commune simple,116.0,765.0,0,
21257,Commune simple,383.0,1263.0,0,
19019,Chef-lieu canton,221.0,862.0,0,
27139,Commune simple,216.0,1465.0,0,
07103,Commune simple,939.0,1030.0,0,
45313,Commune simple,128.0,2804.0,0,
08310,Commune simple,126.0,639.0,0,
62860,Commune simple,129.0,250.0,0,
30355,Commune simple,110.0,539.0,0,
47099,Commune simple,53.0,948.0,0,
89442,Commune simple,185.0,1449.0,0,
72007,Commune simple,89.0,1165.0,0,
36187,Commune simple,193.0,1164.0,0,
03095,Chef-lieu canton,360.0,3172.0,0,
73234,Commune simple,1177.0,1441.0,0,
54594,Commune simple,247.0,830.0,0,
57129,Commune simple,203.0,687.0,0,
57300,Commune simple,354.0,618.0,0,
2B042,Chef-lieu canton,121.0,4838.0,0,
65159,Commune simple,565.0,394.0,0,
70315,Commune simple,259.0,660.0,0,
78402,Commune simple,96.0,1081.0,0,
86123,Commune simple,148.0,2479.0,0,
51172,Commune simple,95.0,469.0,0,
10050,Commune simple,189.0,697.0,0,
76086,Commune simple,148.0,476.0,0,
17288,Commune simple,36.0,520.0,0,
54412,Commune simple,238.0,295.0,0,
58194,Préfecture,190.0,1735.0,0,
08364,Commune simple,96.0,344.0,0,
26270,Commune simple,640.0,974.0,0,
24274,Commune simple,111.0,1953.0,0,
38448,Commune simple,228.0,728.0,0,
54067,Commune simple,271.0,1196.0,0,
27095,Commune simple,119.0,932.0,0,
54263,Chef-lieu canton,221.0,450.0,0,
07291,Commune simple,341.0,4356.0,0,
45055,Commune simple,124.0,1269.0,0,
56262,Commune simple,19.0,624.0,0,
77065,Commune simple,72.0,617.0,0,
41092,Commune simple,99.0,1462.0,0,
09114,Commune simple,731.0,941.0,0,
